gene,virus_1,virus_2,n identities,count gaps as mismatches,n sites,percent_identity,virus_1_accession,virus_2_accession
ORF1a,SARS-CoV-2_Wuhan-Hu-1,SARS-CoV-2_Wuhan-Hu-1,13101,no,13101,100,MN908947.3,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,SARS-CoV-2_Omicron_BA.5,13077,no,13092,99.885,MN908947.3,ON972631.1
ORF1a,SARS-CoV-2_Omicron_BA.5,SARS-CoV-2_Wuhan-Hu-1,13077,no,13092,99.885,ON972631.1,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RaTG13,12580,no,13098,96.045,MN908947.3,MN996532.2
ORF1a,RaTG13,SARS-CoV-2_Wuhan-Hu-1,12580,no,13098,96.045,MN996532.2,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,SARS-CoV-1,9882,no,12999,76.021,MN908947.3,AY278488.2
ORF1a,SARS-CoV-1,SARS-CoV-2_Wuhan-Hu-1,9882,no,12999,76.021,AY278488.2,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RacCS271,12221,no,13059,93.583,MN908947.3,MW251312
ORF1a,RacCS271,SARS-CoV-2_Wuhan-Hu-1,12221,no,13059,93.583,MW251312,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RacCS264,12222,no,13059,93.591,MN908947.3,MW251311
ORF1a,RacCS264,SARS-CoV-2_Wuhan-Hu-1,12222,no,13059,93.591,MW251311,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RacCS253,12222,no,13059,93.591,MN908947.3,MW251310
ORF1a,RacCS253,SARS-CoV-2_Wuhan-Hu-1,12222,no,13059,93.591,MW251310,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RacCS224,12221,no,13059,93.583,MN908947.3,MW251309
ORF1a,RacCS224,SARS-CoV-2_Wuhan-Hu-1,12221,no,13059,93.583,MW251309,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,RacCS203,12223,no,13059,93.598,MN908947.3,MW251308
ORF1a,RacCS203,SARS-CoV-2_Wuhan-Hu-1,12223,no,13059,93.598,MW251308,MN908947.3
ORF1a,SARS-CoV-2_Wuhan-Hu-1,CoVZC45,11907,no,13080,91.032,MN908947.3,MG772933
